,0,1
170,3,20
167,3,20
164,3,19
161,3,20
160,3,20
158,3,20
157,3,19
156,3,20
155,3,20
153,3,20
152,3,20
151,3,20
150,3,20
149,3,20
148,3,20
147,3,20
146,3,20
145,3,20
144,3,20
143,3,20
142,3,20
141,3,20
140,3,20
139,3,20
137,3,18
136,3,20
135,3,20
134,3,20
133,3,20
132,3,20
131,3,20
130,3,20
129,3,19
128,3,20
127,3,20
126,3,19
125,3,20
124,3,20
123,3,20
122,3,18
121,3,19
120,3,20
119,3,20
118,3,20
117,3,20
116,3,20
115,3,20
114,3,20
113,3,20
112,3,20
111,3,20
110,3,20
109,3,19
108,3,20
107,3,19
106,3,20
105,3,20
104,3,20
103,3,19
102,3,20
101,3,17
100,3,20
99,3,19
98,3,20
97,3,19
96,3,20
95,3,19
94,3,18
93,3,19
92,3,20
91,3,17
90,3,18
89,3,19
88,3,16
87,3,17
86,3,18
85,3,15
84,3,16
83,3,17
82,3,14
81,3,15
80,3,16
79,3,13
78,3,18
77,3,15
76,3,20
75,3,13
74,3,14
73,3,19
72,3,16
71,3,13
70,3,18
69,1,19
68,3,20
67,3,17
66,3,10
65,3,19
64,3,16
63,3,13
62,3,10
61,3,15
60,1,20
59,1,19
58,1,18
57,1,17
56,1,16
55,1,15
54,1,14
53,1,13
52,1,12
51,1,11
50,1,10
